Area,Location description,Street Address,Cross Street,Originallistprice,Listpriceatsale,Closeprice,Close Date,Closemonth,Closeyear,DOM,Beds,Baths Total,Baths Full,Baths Half,Homesqft,Lotsqft,Garage,Garage Style,View,View Description
141, Northwest Carmel,0 Monte Verde 4 NE of 4th,4th," 2,098,000 "," 2,098,000 "," 1,965,000 ",10/15/14, 10.00 ,2014,54,3,2,2,0,1554,4000,1,Detached,Yes,Local/Neighborhood
141, Northwest Carmel,0 Lincoln 1 NW of 5th,Lincoln," 1,978,000 "," 1,978,000 "," 1,987,000 ",9/29/14, 9.00 ,2014,7,3,2,2,0,1557,4000,1,Off-Street Parking,Yes,"Bay,Ocean,City Lights"
141, Northwest Carmel,0 CARMELO 5 NW of 4TH Avenue,4th," 2,000,000 "," 2,000,000 "," 2,000,000 ",5/9/14, 5.00 ,2014,0,2,2,2,0,2184,5000,1,--,--,--
141, Northwest Carmel,0 Monte Verde & 4th NE Corner,4th," 2,150,000 "," 2,150,000 "," 2,078,000 ",3/16/15, 3.00 ,2015,105,3,2,2,0,1600,3920,--,--,Yes,Local/Neighborhood
142, Northeast Carmel,0 SANTA RITA 2 NE OF 3RD,3rd," 1,399,000 "," 1,285,000 "," 1,200,000 ",11/7/13, 11.00 ,2013,231,3,3,3,0,1615,4000,1,Off-Street Parking,Yes,Local/Neighborhood
142, Northeast Carmel,0 SW 3rd and CARPENTER Street,Carpenter," 1,375,000 "," 1,289,000 "," 1,230,000 ",8/26/14, 8.00 ,2014,365,3,3,3,0,1863,6000,2,--,Yes,Local/Neighborhood
142, Northeast Carmel,0 PERRY NEWBERRY & 5th SE CORNER,5th," 1,425,000 "," 1,350,000 "," 1,260,000 ",8/11/14, 8.00 ,2014,38,3,3,3,0,2025,5180,2,Gate/Door Opener,Yes,"Mountains,Local/Neighborhood"
142, Northeast Carmel,24778 GUADALUPE Street,Valley," 1,325,000 "," 1,325,000 "," 1,260,000 ",1/7/14, 1.00 ,2014,165,3,3,3,0,1351,4000,1,Off-Street Parking,Yes,Local/Neighborhood
142, Northeast Carmel,3055 LORCA Lane,Junipero," 1,450,000 "," 1,395,000 "," 1,325,000 ",1/21/14, 1.00 ,2014,164,3,2.1,2,1,1950,7200,1,Off-Street Parking,--,--
142, Northeast Carmel,0 CARPENTER 2 NE OF 6TH,6th," 1,899,000 "," 1,499,000 "," 1,400,000 ",9/24/15, 9.00 ,2015,418,3,2,2,0,1916,4875,1,Gate/Door Opener,Yes,Local/Neighborhood
142, Northeast Carmel,0 Guadalupe & 1st NW Corner,--," 1,449,000 "," 1,449,000 "," 1,449,000 ",6/19/15, 6.00 ,2015,2,3,2,2,--,1264,3920,1,Detached,--,--
142, Northeast Carmel,0 SE Guadalupe & 4th Avenue,4th Avenue," 1,575,000 "," 1,575,000 "," 1,500,000 ",8/11/15, 8.00 ,2015,7,3,2,2,0,1650,4000,1,--,--,--
142, Northeast Carmel,0 ESCOLLE Way,Perry Newberry," 1,547,500 "," 1,547,500 "," 1,525,000 ",10/8/14, 10.00 ,2014,17,2,2,2,0,1716,6098,1,"Detached,Gate/Door Opener",Yes,Local/Neighborhood
142, Northeast Carmel,0 NE JUNIPERO Avenue,Junipero," 1,750,000 "," 1,695,000 "," 1,525,000 ",11/26/14, 11.00 ,2014,232,5,5,5,0,2638,7500,2,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",Yes,"Local/Neighborhood,Ocean"
142, Northeast Carmel,0 Torres 2 NE of 3rd Street,3rd," 1,695,000 "," 1,695,000 "," 1,550,000 ",6/2/15, 6.00 ,2015,81,3,2.1,2,1,1600,4000,1,Detached,--,--
142, Northeast Carmel,3rd Avenue SE Lobos Street,Lobos Street," 1,575,000 "," 1,575,000 "," 1,550,000 ",10/28/15, 10.00 ,2015,57,3,3,3,0,1692,4000,--,"Off-Street Parking,Parking Area",--,--
142, Northeast Carmel,0 SANTA FE 2 NE OF 2ND Street,2nd," 1,695,000 "," 1,695,000 "," 1,600,000 ",3/6/14, 3.00 ,2014,30,3,2.1,2,1,1658,4000,1,--,--,--
142, Northeast Carmel,0 Torres & 1st SE Corner,1st Avenue," 1,795,000 "," 1,695,000 "," 1,627,500 ",5/1/15, 5.00 ,2015,148,3,2,2,0,1685,3920,1,Gate/Door Opener,Yes,Local/Neighborhood
142, Northeast Carmel,0 NE Corner of Santa Rita & 5th Ave,5th Avenue," 1,749,000 "," 1,695,000 "," 1,650,000 ",8/26/14, 8.00 ,2014,66,3,2.1,2,1,1642,5700,1,Gate/Door Opener,Yes,"Bay,Mountains,Local/Neighborhood,Ocean"
142, Northeast Carmel,0 PERRY NEWBERRY & ESCOLLE WAY SE CORNER,Escolle Way," 1,925,000 "," 1,795,000 "," 1,650,000 ",5/12/15, 5.00 ,2015,115,3,2.1,2,1,1741,4067,1,--,Yes,Local/Neighborhood
142, Northeast Carmel,0 Lobos & 1st SW Corner,Lobos and First," 1,795,000 "," 1,795,000 "," 1,700,000 ",10/10/15, 10.00 ,2015,97,3,2.1,2,1,1826,7000,1,"Guest / Visitor Parking,Parking Area",--,--
142, Northeast Carmel,0 NW CORNER OF LOBOS & 4TH Avenue,Lobos St.," 1,900,000 "," 1,900,000 "," 1,775,000 ",6/18/14, 6.00 ,2014,138,4,2.1,2,1,2287,4700,1,--,Yes,"Garden/Greenbelt,Ocean"
142, Northeast Carmel,0 NE CORNER of GUADALUPE and 6th Street,6th," 1,795,000 "," 1,795,000 "," 1,775,000 ",2/26/14, 2.00 ,2014,25,3,2,2,0,1722,4000,1,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",Yes,"Mountains,Local/Neighborhood,Ocean"
142, Northeast Carmel,0 Santa Fe 4 SW of 3rd,3rd," 1,895,000 "," 1,895,000 "," 1,835,000 ",12/3/13, 12.00 ,2013,13,3,2,2,0,1668,4000,1,"Guest / Visitor Parking,Off-Street Parking",Yes,Local/Neighborhood
142, Northeast Carmel,0 GUADALUPE 3 SW OF 5TH,5th," 2,275,000 "," 2,175,000 "," 1,937,813 ",6/16/14, 6.00 ,2014,77,3,2,2,0,1750,4000,1,Detached,Yes,Ocean
143, Southwest Carmel,0 9TH Avenue,MONTE VERDE," 1,295,000 "," 1,295,000 "," 1,200,000 ",6/13/14, 6.00 ,2014,12,2,1,1,0,977,4000,1,Gate/Door Opener,Yes,"Local/Neighborhood,Ocean"
143, Southwest Carmel,0 San Carlos Street 4 SW of 9th,9th," 1,395,000 "," 1,345,000 "," 1,220,000 ",4/27/15, 4.00 ,2015,110,2,2,2,0,1530,6400,--,Off-Street Parking,--,--
143, Southwest Carmel,0 MONTE VERDE 2 NW OF 11TH,11th," 1,395,000 "," 1,395,000 "," 1,250,000 ",10/29/14, 10.00 ,2014,20,2,2,2,0,1062,3920,--,--,Yes,Local/Neighborhood
143, Southwest Carmel,0 NW DOLORES Street,10th Avenue," 1,150,000 "," 1,150,000 "," 1,250,000 ",1/20/15, 1.00 ,2015,32,3,2.1,2,1,1158,4000,--,Off-Street Parking,Yes,"Local/Neighborhood,Ocean"
143, Southwest Carmel,0 MONTE VERDE 2 SE OF 7TH,7th," 1,375,000 "," 1,375,000 "," 1,250,000 ",7/22/14, 7.00 ,2014,81,3,3,3,0,1400,4000,--,Off-Street Parking,--,--
143, Southwest Carmel,2 NE Monte Verde,12TH," 1,295,000 "," 1,295,000 "," 1,295,000 ",7/7/15, 7.00 ,2015,0,2,2,2,--,1340,4000,1,--,--,--
143, Southwest Carmel,0 CAMINO REAL,8th," 1,295,000 "," 1,295,000 "," 1,295,000 ",5/23/14, 5.00 ,2014,7,3,2,2,0,921,4000,1,Gate/Door Opener,Yes,Ocean
143, Southwest Carmel,0 Monte Verde 3 SW of 12th,12th Avenue," 1,595,000 "," 1,395,000 "," 1,335,000 ",11/4/15, 11.00 ,2015,121,4,2,2,--,1751,4000,1,--,--,--
143, Southwest Carmel,0 SW Corner of MONTE VERDE & 8th Street,Eighth Avenue," 1,470,000 "," 1,470,000 "," 1,350,000 ",4/15/14, 4.00 ,2014,16,3,3,3,0,1578,5000,--,"Converted,Guest / Visitor Parking",Yes,Local/Neighborhood
143, Southwest Carmel,0 LINCOLN & 11th SW Corner Street,11th," 1,450,000 "," 1,450,000 "," 1,350,000 ",7/24/14, 7.00 ,2014,72,2,2,2,0,1044,4000,1,--,Yes,Local/Neighborhood
143, Southwest Carmel,0 CAMINO REAL 5 SE of 8th,8th," 1,695,000 "," 1,550,000 "," 1,424,000 ",8/29/14, 8.00 ,2014,227,3,2.1,2,1,1880,3920,1,"Gate/Door Opener,Off-Street Parking",--,--
143, Southwest Carmel,0 Dolores & 12th NE Corner,12th," 1,495,000 "," 1,495,000 "," 1,445,000 ",8/10/15, 8.00 ,2015,27,2,2,2,--,1050,4896,2,Detached,--,--
143, Southwest Carmel,0 CASANOVA & 10th NE CORNER Street,10th Ave.," 1,495,000 "," 1,495,000 "," 1,450,000 ",7/2/14, 7.00 ,2014,0,2,2,2,0,1030,4000,1,Detached,Yes,Local/Neighborhood
143, Southwest Carmel,0 SE Monte Verde Street,13th," 1,399,000 "," 1,399,000 "," 1,451,000 ",7/31/15, 7.00 ,2015,7,2,2,2,--,1340,3920,1,--,--,--
143, Southwest Carmel,0 MONTE VERDE 2 NE of 9th,9th," 1,525,000 "," 1,525,000 "," 1,525,000 ",4/28/14, 4.00 ,2014,5,3,2,2,0,1634,4000,1,Off-Street Parking,Yes,Ocean
143, Southwest Carmel,0 Camino Real 2 NW 8th,8th Ave," 1,895,000 "," 1,695,000 "," 1,560,000 ",3/19/15, 3.00 ,2015,19,2,2,2,--,1310,3920,1,"Guest / Visitor Parking,Off-Street Parking",--,--
143, Southwest Carmel,0 Monte Verde & 9th NE Corner,9th Corner NE," 2,475,000 "," 1,500,000 "," 1,665,000 ",11/26/14, 11.00 ,2014,102,3,2,2,0,1634,8000,3,"Detached,Off-Street Parking",--,--
143, Southwest Carmel,0 CAMINO REAL 3 SW of 12th Avenue,12th," 1,795,000 "," 1,795,000 "," 1,687,300 ",10/3/14, 10.00 ,2014,175,3,2,2,0,1378,6000,--,--,--,--
143, Southwest Carmel,0 Dolores 3 SW of 13th Street,13th Street," 1,895,000 "," 1,795,000 "," 1,690,000 ",7/28/15, 7.00 ,2015,143,3,2,2,--,1284,4000,1,--,No,None
143, Southwest Carmel,0 Monte Verde 2SW of 13th,13th," 1,695,000 "," 1,695,000 "," 1,700,000 ",2/13/15, 2.00 ,2015,4,2,2,2,--,1405,7841,1,"Detached,On Street,Other",--,None
143, Southwest Carmel,0 CARMELO 4 SE of 12th Street,12th," 1,895,000 "," 1,895,000 "," 1,797,500 ",2/19/14, 2.00 ,2014,59,2,2,2,0,1350,4000,1,Gate/Door Opener,Yes,Ocean
143, Southwest Carmel,0 CARMELO 4 SW OCEAN AVE,Ocean Avenue," 1,895,000 "," 1,895,000 "," 1,800,000 ",4/2/14, 4.00 ,2014,14,3,3,3,0,2150,4000,--,"Gate/Door Opener,Off-Street Parking",--,--
143, Southwest Carmel,0 SW CAMINO REAL,Ocean Ave," 199,995 "," 1,799,995 "," 1,825,000 ",6/23/14, 6.00 ,2014,125,3,3,3,0,1410,4400,2,--,Yes,"Canyon,Ocean"
143, Southwest Carmel,0 Dolores 2 NW of 11th Street,11th Avenue," 2,095,000 "," 1,895,000 "," 1,875,000 ",10/8/15, 10.00 ,2015,193,3,3,3,--,1772,3920,1,Enclosed,Yes,Forest/Woods
143, Southwest Carmel,0 SE DOLORES & 9TH,9 th street," 1,995,000 "," 1,995,000 "," 1,887,500 ",2/3/15, 2.00 ,2015,73,3,3,3,0,1983,4000,1,Guest / Visitor Parking,Yes,Local/Neighborhood
143, Southwest Carmel,0 12TH Avenue,Monte Verde," 2,149,000 "," 1,995,000 "," 1,938,750 ",1/30/14, 1.00 ,2014,136,3,2,2,0,1536,4400,--,--,--,--
143, Southwest Carmel,0 San Antonio 4 SW of 10th Avenue,10th Avenue," 1,999,000 "," 1,999,000 "," 1,950,000 ",2/13/15, 2.00 ,2015,36,3,2,2,--,972,3000,--,Off-Street Parking,Yes,Ocean
143, Southwest Carmel,0 MONTE VERDE 2 NE of 13th Street,13th," 2,195,000 "," 2,095,000 "," 1,975,000 ",3/31/14, 3.00 ,2014,356,3,2,2,0,1912,4000,1,"Detached,Off-Street Parking",Yes,Local/Neighborhood
143, Southwest Carmel,0 Dolores 2 SW of 11th St,11th," 2,295,000 "," 2,065,000 "," 1,984,125 ",9/28/15, 9.00 ,2015,83,3,2,2,--,1566,4000,1,"Detached,Enclosed,On Street,Parking Area",--,--
143, Southwest Carmel,0 MONTE VERDE 4 SW OF 13TH Street,13th," 2,595,000 "," 2,295,000 "," 2,042,500 ",9/23/14, 9.00 ,2014,158,3,3.1,3,1,2331,8000,2,"Detached,Gate/Door Opener,Off-Street Parking",Yes,Local/Neighborhood
143, Southwest Carmel,0 SE CORNER OF SAN ANTONIO & 11TH Avenue,11th Ave," 2,195,000 "," 2,195,000 "," 2,050,000 ",3/13/14, 3.00 ,2014,38,2,2,2,0,1360,4000,1,"Guest / Visitor Parking,Off-Street Parking",Yes,"Bay,Ocean"
143, Southwest Carmel,0 MONTE VERDE 6SE of 13th Avenue,13th," 2,695,000 "," 2,395,000 "," 2,071,335 ",12/9/14, 12.00 ,2014,222,3,2,2,0,1839,6000,2,--,--,--
143, Southwest Carmel,CARMELO & 12th NW Corner,12th," 2,795,000 "," 2,295,000 "," 2,122,000 ",6/19/15, 6.00 ,2015,250,2,2,2,0,1546,3485,1,--,Yes,"Bay,Local/Neighborhood,Ocean"
143, Southwest Carmel,0 LINCOLN 3 SE of 11th,11th," 2,300,000 "," 2,300,000 "," 2,150,000 ",10/22/14, 10.00 ,2014,26,2,2,2,0,1579,4000,1,Off-Street Parking,Yes,Local/Neighborhood
143, Southwest Carmel,0 CASANOVA 5 SW OF 8TH,8th," 2,650,000 "," 2,395,000 "," 2,200,000 ",12/16/13, 12.00 ,2013,249,3,3,3,0,2167,4000,--,--,Yes,"Local/Neighborhood,Ocean"
144, Southeast Carmel,0 MISSION 8 SE of 8th,8th Avenue," 1,375,000 "," 1,375,000 "," 1,200,000 ",4/18/14, 4.00 ,2014,162,4,2.1,2,1,1674,4000,--,Off-Street Parking,Yes,Local/Neighborhood
144, Southeast Carmel,0 SAN CARLOS 2 SE 13TH Street,13th Street," 1,300,000 "," 1,300,000 "," 1,200,000 ",3/13/14, 3.00 ,2014,22,3,2,2,0,1754,5663,--,--,Yes,Local/Neighborhood
144, Southeast Carmel,JUNIPERO 2NW 11TH,11TH," 1,365,000 "," 1,365,000 "," 1,225,000 ",7/21/15, 7.00 ,2015,66,3,2,2,0,1594,4000,--,On Street,--,--
144, Southeast Carmel,0 SAN CARLOS 3 NE OF SANTA LUCIA,Santa Lucia," 1,379,000 "," 1,299,000 "," 1,250,000 ",8/28/14, 8.00 ,2014,70,3,2,2,0,1540,4000,1,Off-Street Parking,Yes,"Mountains,Valley"
144, Southeast Carmel,0 JUNIPERO 5 SE of 8th,8th Avenue," 1,350,000 "," 1,350,000 "," 1,295,000 ",2/5/15, 2.00 ,2015,52,3,2,2,0,1589,4000,1,Off-Street Parking,Yes,Local/Neighborhood
144, Southeast Carmel,0 SAN CARLOS 2 NW of 9th Street,9th Avenue," 1,400,000 "," 1,400,000 "," 1,300,000 ",3/31/14, 3.00 ,2014,27,3,2,2,0,1667,4000,--,Off-Street Parking,Yes,Local/Neighborhood
144, Southeast Carmel,0 SW Mission & 13th,Mission," 1,350,000 "," 1,350,000 "," 1,300,000 ",8/1/14, 8.00 ,2014,96,3,2,2,0,1587,4000,1,--,Yes,"Mountains,Local/Neighborhood"
144, Southeast Carmel,0 Torres 2 NW of 10th Street,Torres / 10th," 1,275,000 "," 1,275,000 "," 1,300,000 ",7/2/15, 7.00 ,2015,13,3,3,3,--,1995,6500,2,Detached,--,--
144, Southeast Carmel,0 NE PINE RIDGE Way,Forest," 1,325,000 "," 1,325,000 "," 1,325,000 ",7/29/14, 7.00 ,2014,6,3,2.1,2,1,1651,5368,1,Gate/Door Opener,Yes,Local/Neighborhood
144, Southeast Carmel,3 SE Ninth Torres Street,--," 1,595,000 "," 1,495,000 "," 1,335,000 ",9/1/15, 9.00 ,2015,182,3,2.1,2,1,1539,3920,1,--,--,--
144, Southeast Carmel,0 Mission 5 SE 10th Street,10th," 1,425,000 "," 1,425,000 "," 1,345,000 ",6/12/15, 6.00 ,2015,58,3,3,3,--,1571,4700,--,Guest / Visitor Parking,Yes,Other
144, Southeast Carmel,2 SE OAK KNOLL & FOREST Way,Forest," 1,695,000 "," 1,495,000 "," 1,350,000 ",4/3/15, 4.00 ,2015,250,3,2.1,2,1,2085,5490,1,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",Yes,Local/Neighborhood
144, Southeast Carmel,0 SE VIZCAINO Avenue,Mountain View," 1,495,000 "," 1,495,000 "," 1,360,000 ",1/23/15, 1.00 ,2015,0,4,2,2,0,2122,12518,1,Off-Street Parking,Yes,Local/Neighborhood
144, Southeast Carmel,0 San Carlos 3 NW of 10th Ave Street,10th," 1,399,000 "," 1,399,000 "," 1,375,000 ",9/11/15, 9.00 ,2015,62,3,2,2,0,1497,6000,1,Off-Site Parking,--,--
144, Southeast Carmel,0 TORRES &10th NW Corners,10th," 1,849,000 "," 1,495,000 "," 1,432,000 ",5/8/15, 5.00 ,2015,163,3,4,4,0,2454,5000,--,"Guest / Visitor Parking,Off-Street Parking",--,--
144, Southeast Carmel,0 Santa Fe 4SW Ocean Street,--," 1,495,000 "," 1,495,000 "," 1,435,000 ",11/5/15, 11.00 ,2015,8,3,3.1,3,1,1679,4000,--,Off-Street Parking,--,--
144, Southeast Carmel,0 Santa Fe 8 SW of 8th Street,8th Avenue," 1,550,000 "," 1,550,000 "," 1,500,000 ",8/20/14, 8.00 ,2014,88,3,2.1,2,1,1588,4000,1,--,Yes,"Garden/Greenbelt,Local/Neighborhood"
144, Southeast Carmel,0 NE 10TH Avenue,Junipero," 1,739,000 "," 1,695,000 "," 1,600,000 ",11/5/13, 11.00 ,2013,121,3,2,2,0,1452,5663,1,Gate/Door Opener,Yes,Local/Neighborhood
144, Southeast Carmel,0 TORRES 5 SW OF MOUNTAIN VIEW Street,Mountain View," 2,199,000 "," 1,750,000 "," 1,700,000 ",10/31/14, 10.00 ,2014,165,4,4,4,0,2278,6007,1,"Detached,Off-Street Parking",Yes,Local/Neighborhood
144, Southeast Carmel,Corner 8NE Torres Street,Eighth," 1,875,000 "," 1,775,000 "," 1,722,000 ",4/30/15, 4.00 ,2015,77,4,3,3,0,1714,6000,--,Off-Street Parking,Yes,Forest/Woods
144, Southeast Carmel,2957 SANTA LUCIA Avenue,Rio Rd.," 2,495,000 "," 2,195,000 "," 1,840,000 ",7/27/15, 7.00 ,2015,257,4,4.1,4,1,5243,8276,1,--,--,--
144, Southeast Carmel,JUNIPERO & 10th SE CORNER,Junipero," 2,100,000 "," 1,899,000 "," 1,880,000 ",5/1/15, 5.00 ,2015,381,3,2,2,0,1684,4000,--,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",--,--
144, Southeast Carmel,0 2 NW OF SAN CARLOS AND 13TH Avenue,13th," 2,649,000 "," 2,299,000 "," 2,040,000 ",8/25/14, 8.00 ,2014,97,4,3,3,0,2877,10000,2,Detached,Yes,Local/Neighborhood
144, Southeast Carmel,0 GUADALUPE 2 NE 7TH Street,7th Avenue," 2,150,000 "," 2,150,000 "," 2,050,000 ",4/3/15, 4.00 ,2015,7,3,3,3,0,1831,4792,1,Off-Street Parking,Yes,"Forest/Woods,Other"
